Date,Open,Close,delta,% delta,mean,median,
12/20/2023,4764.72998,4698.350098,-70.020,-1.47%,,,
12/21/2023,4724.290039,4746.75,48.400,1.03%,,,
12/22/2023,4753.919922,4754.629883,7.880,0.17%,,,
12/26/2023,4758.859863,4774.75,20.120,0.42%,,,
12/27/2023,4773.450195,4781.580078,6.830,0.14%,,,
12/28/2023,4786.439941,4783.350098,1.770,0.04%,,,
12/29/2023,4782.879883,4769.830078,-13.520,-0.28%,,,
1/2/2024,4745.200195,4742.830078,-27.000,-0.57%,,,
1/3/2024,4725.069824,4704.810059,-38.020,-0.80%,,,
1/4/2024,4697.419922,4688.680176,-16.130,-0.34%,,,
1/5/2024,4690.569824,4697.240234,8.560,0.18%,,,
1/8/2024,4703.700195,4763.540039,66.300,1.41%,,,
1/9/2024,4741.930176,4756.5,-7.040,-0.15%,,,
1/10/2024,4759.939941,4783.450195,26.950,0.57%,,,
1/11/2024,4792.129883,4780.240234,-3.210,-0.07%,,,
1/12/2024,4791.180176,4783.830078,3.590,0.08%,,,
1/16/2024,4772.350098,4765.97998,-17.850,-0.37%,,,
1/17/2024,4739.129883,4739.209961,-26.770,-0.56%,,,
1/18/2024,4760.100098,4780.939941,41.730,0.88%,,,
1/19/2024,4796.279785,4839.810059,58.870,1.23%,,,
1/22/2024,4853.419922,4850.430176,10.620,0.22%,,,
1/23/2024,4856.799805,4864.600098,14.170,0.29%,,,
1/24/2024,4888.560059,4868.549805,3.950,0.08%,,,
1/25/2024,4886.660156,4894.160156,25.610,0.53%,,,
1/26/2024,4888.910156,4890.970215,-3.190,-0.07%,,,
1/29/2024,4892.950195,4927.930176,36.960,0.76%,,,
1/30/2024,4925.890137,4924.970215,-2.960,-0.06%,,,
1/31/2024,4899.189941,4845.649902,-79.320,-1.61%,,,
2/1/2024,4861.109863,4906.189941,60.540,1.25%,,,
2/2/2024,4916.060059,4958.609863,52.420,1.07%,,,
2/5/2024,4957.189941,4942.810059,-15.800,-0.32%,,,
2/6/2024,4950.160156,4954.22998,11.420,0.23%,,,
2/7/2024,4973.049805,4995.060059,40.830,0.82%,,,
2/8/2024,4995.160156,4997.910156,2.850,0.06%,,,
2/9/2024,5004.169922,5026.609863,28.700,0.57%,,,
2/12/2024,5026.830078,5021.839844,-4.770,-0.09%,,,
2/13/2024,4967.939941,4953.169922,-68.670,-1.37%,,,
2/14/2024,4976.439941,5000.620117,47.450,0.96%,,,
2/15/2024,5003.140137,5029.72998,29.110,0.58%,,,
2/16/2024,5031.129883,5005.569824,-24.160,-0.48%,,,
2/20/2024,4989.319824,4975.509766,-30.060,-0.60%,,,
2/21/2024,4963.029785,4981.799805,6.290,0.13%,,,
